index,player,nation,pos,squad,age,born,avg_90s_played,sca,Sca_90,pass_live,pass_dead,to,sh,fld,def,gca,Gca_90,pass_live_goa,pass_dead_goal,to_goal,sh_goal,fld_goal,def_goal,unique_id
524,Callum Wilson,eng ENG,FW,Newcastle Utd,30-353,1992,12.5,23,1.84,13,0,2,4,4,0,5,0.4,3,0,0,2,0,0,c596fcb0
525,Harry Wilson,wls WAL,FW,Fulham,25-330,1997,3.9,5,1.27,3,0,1,0,1,0,1,0.25,0,0,0,0,1,0,c6dc9ecd
526,Yoane Wissa,cd COD,FW,Brentford,26-165,1996,10.4,23,2.21,17,0,1,1,3,1,5,0.48,3,0,0,0,1,1,2500cef9
527,Maximilian Wöber,at AUT,DF,Leeds United,25-011,1998,4.3,5,1.17,1,2,0,2,0,0,0,0,0,0,0,0,0,0,4b803b3c
528,Chris Wood,nz NZL,FW,Newcastle Utd,31-070,1991,5,5,1.01,4,0,0,1,0,0,0,0,0,0,0,0,0,0,4e9a0555
529,Chris Wood,nz NZL,FW,Nott'ham Forest,31-070,1991,2.3,4,1.73,2,0,0,1,1,0,0,0,0,0,0,0,0,0,4e9a0555
530,Joe Worrall,eng ENG,DF,Nott'ham Forest,26-036,1997,13.9,8,0.58,7,1,0,0,0,0,0,0,0,0,0,0,0,0,a5212312
531,Granit Xhaka,ch SUI,MF,Arsenal,30-141,1992,19.8,73,3.68,67,1,2,2,1,0,9,0.45,9,0,0,0,0,0,e61b8aee
532,Ryan Yates,eng ENG,MF,Nott'ham Forest,25-086,1997,15.5,20,1.29,14,0,0,4,2,0,2,0.13,0,0,0,2,0,0,c1fe2a48
533,Ashley Young,eng ENG,DF,Aston Villa,37-221,1985,14.1,30,2.13,26,2,2,0,0,0,1,0.07,1,0,0,0,0,0,be927d03
534,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,30-097,1992,18.5,63,3.41,42,0,7,2,12,0,6,0.33,5,0,0,1,0,0,b2bc3b1f
535,Denis Zakaria,ch SUI,MF,Chelsea,26-087,1996,3.2,2,0.63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,384d58d9
536,Jordan Zemura,zw ZIM,DF,Bournemouth,23-093,1999,13.5,30,2.22,20,0,6,2,2,0,1,0.07,1,0,0,0,0,0,e8271ad9
537,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26-062,1996,12,25,2.08,22,0,0,1,1,1,1,0.08,1,0,0,0,0,0,51cf8561
538,Hakim Ziyech,ma MAR,FWMF,Chelsea,29-333,1993,5.7,21,3.7,16,3,1,0,1,0,1,0.18,1,0,0,0,0,0,6622454d
539,Kurt Zouma,fr FRA,DF,West Ham,28-111,1994,14.2,4,0.28,3,0,0,1,0,0,2,0.14,1,0,0,1,0,0,ce4246f5
540,Martin Ødegaard,no NOR,MF,Arsenal,24-060,1998,18.7,95,5.08,66,13,2,9,3,2,12,0.64,10,0,0,2,0,0,79300479
