index,player,nation,pos,squad,age,born,avg_90s_played,sca,Sca_90,pass_live,pass_dead,to,sh,fld,def,gca,Gca_90,pass_live_goa,pass_dead_goal,to_goal,sh_goal,fld_goal,def_goal,unique_id
309,Marquinhos,br BRA,MF,Arsenal,19-314,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59878425
310,Anthony Martial,fr FRA,FW,Manchester Utd,27-072,1995,5.1,9,1.77,7,0,1,0,1,0,4,0.79,2,0,1,0,1,0,8b788c01
311,Martinelli,br BRA,FW,Arsenal,21-242,2001,19.2,83,4.33,61,6,4,7,3,2,11,0.57,6,0,0,5,0,0,48a5a5d6
312,Emiliano Martínez,ar ARG,GK,Aston Villa,30-166,1992,19.4,4,0.21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7956236f
313,Lisandro Martínez,ar ARG,DF,Manchester Utd,25-028,1998,17.8,15,0.84,13,0,0,1,0,1,0,0,0,0,0,0,0,0,bac46a10
314,Pape Matar Sarr,sn SEN,MF,Tottenham,20-154,2002,1.5,1,0.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,feb5d972
315,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-232,1997,5.7,6,1.06,3,0,0,1,2,0,1,0.18,0,0,0,0,1,0,50e6dc35
316,Joël Matip,cm CMR,DF,Liverpool,31-191,1991,8.1,9,1.11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,b217ef29
317,Neal Maupay,fr FRA,FW,Everton,26-185,1996,8.1,9,1.12,5,0,0,1,3,0,0,0,0,0,0,0,0,0,4bcf39f6
318,Kevin Mbabu,ch SUI,DFFW,Fulham,27-302,1995,1.6,3,1.87,2,0,1,0,0,0,1,0.62,1,0,0,0,0,0,493924a7
319,Bryan Mbeumo,cm CMR,FW,Brentford,23-192,1999,18.4,47,2.55,32,13,2,0,0,0,7,0.38,6,1,0,0,0,0,6afaebf2
320,John McGinn,sct SCO,MF,Aston Villa,28-120,1994,13.9,33,2.37,24,3,1,3,1,1,5,0.36,4,0,0,0,1,0,90f91999
321,Scott McKenna,sct SCO,DF,Nott'ham Forest,26-095,1996,16.2,9,0.55,9,0,0,0,0,0,1,0.06,1,0,0,0,0,0,4e5a4cbc
322,Weston McKennie,us USA,MF,Leeds United,24-171,1998,2.3,2,0.87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,01c3aff5
