index,player,nation,pos,squad,age,born,avg_90s_played,sca,Sca_90,pass_live,pass_dead,to,sh,fld,sca_def,gca,Gca_90,pass_live_goa,pass_dead_goal,to_goal,sh_goal,fld_goal,def_goal,unique_id
249,Mateo Joseph,eng ENG,FWMF,Leeds United,19-160,2003,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6ad43f9a
250,Diogo Jota,pt POR,FWMF,Liverpool,26-114,1996,5,16,3.19,10,0,2,3,1,0,2,0.4,2,0,0,0,0,0,178ae8f8
251,Hamed Junior Traorè,ci CIV,MFFW,Bournemouth,23-040,2000,3.7,17,4.54,10,6,1,0,0,0,1,0.27,1,0,0,0,0,0,570bb4b9
252,James Justin,eng ENG,DF,Leicester City,25-033,1998,13.9,21,1.51,17,0,2,0,2,0,2,0.14,0,0,1,0,1,0,fb614c44
253,Mathias Jørgensen,dk DEN,DF,Brentford,32-339,1990,8.3,3,0.36,2,1,0,0,0,0,1,0.12,0,1,0,0,0,0,0db5d2c8
254,Sasa Kalajdzic,at AUT,FW,Wolves,25-264,1997,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15f24fe7
255,Boubacar Kamara,fr FRA,MF,Aston Villa,23-125,1999,16.9,22,1.3,18,0,1,0,3,0,4,0.24,2,0,1,0,1,0,cc77354e
256,Harry Kane,eng ENG,FW,Tottenham,29-243,1993,27.8,99,3.56,65,2,9,10,10,3,11,0.4,8,0,0,2,1,0,21a66f6a
257,N'Golo Kanté,fr FRA,MF,Chelsea,31-364,1991,1.9,7,3.64,7,0,0,0,0,0,1,0.52,1,0,0,0,0,0,b9fbae28
258,Michael Keane,eng ENG,DF,Everton,30-076,1993,4.3,3,0.7,2,0,0,1,0,0,1,0.23,1,0,0,0,0,0,c5b7c315
259,Neeskens Kebano,cd COD,FW,Fulham,31-018,1992,7.9,21,2.65,16,0,0,2,3,0,5,0.63,4,0,0,1,0,0,18b999f4
260,Thilo Kehrer,de GER,DF,West Ham,26-188,1996,18.5,17,0.92,12,2,0,3,0,0,2,0.11,1,0,0,1,0,0,51dbeea9
261,Naby Keïta,gn GUI,MF,Liverpool,28-046,1995,3.3,12,3.67,10,0,0,2,0,0,0,0,0,0,0,0,0,0,f25c8e3a
262,Lloyd Kelly,eng ENG,DF,Bournemouth,24-173,1998,12,6,0.5,5,1,0,0,0,0,2,0.17,2,0,0,0,0,0,f31def1e
263,Max Kilman,eng ENG,DF,Wolves,25-309,1997,28,17,0.61,16,0,0,1,0,0,2,0.07,1,0,0,1,0,0,d0f72bf1
264,Jakub Kiwior,pl POL,DF,Arsenal,23-041,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dc3e663e
265,Mateusz Klich,pl POL,MFFW,Leeds United,32-288,1990,3.1,7,2.26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,282679b4
266,Robin Koch,de GER,DF,Leeds United,26-254,1996,25.5,8,0.31,5,2,0,1,0,0,1,0.04,1,0,0,0,0,0,ea6bc03a
267,Ibrahima Konaté,fr FRA,DF,Liverpool,23-307,1999,7.2,7,0.97,5,0,0,1,1,0,0,0,0,0,0,0,0,0,5ed9b537
268,Ezri Konsa,eng ENG,DF,Aston Villa,25-156,1997,25.9,10,0.39,9,0,0,1,0,0,1,0.04,1,0,0,0,0,0,0313a347
269,Kalidou Koulibaly,sn SEN,DF,Chelsea,31-281,1991,16.9,19,1.13,16,0,0,1,0,2,3,0.18,3,0,0,0,0,0,da974c7b
270,Cheikhou Kouyaté,sn SEN,MFDF,Nott'ham Forest,33-097,1989,7.8,7,0.89,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8d3c902d
271,Mateo Kovačić,hr CRO,MF,Chelsea,28-326,1994,13,44,3.39,38,1,0,4,0,1,2,0.15,2,0,0,0,0,0,79c0821a
272,Emil Krafth,se SWE,DF,Newcastle Utd,28-238,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77cf6852
273,Dejan Kulusevski,se SWE,MFFW,Tottenham,22-337,2000,16.3,72,4.43,56,2,10,3,0,1,9,0.55,8,0,1,0,0,0,df3cda47
274,Layvin Kurzawa,fr FRA,DF,Fulham,30-205,1992,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41e7ef1c
275,Adam Lallana,eng ENG,MFFW,Brighton,34-322,1988,8,22,2.75,22,0,0,0,0,0,2,0.25,2,0,0,0,0,0,99813635
276,Tariq Lamptey,gh GHA,DF,Brighton,22-179,2000,5,14,2.78,12,0,1,0,1,0,0,0,0,0,0,0,0,0,f4e433d4
277,Manuel Lanzini,ar ARG,MFFW,West Ham,30-041,1993,1.7,2,1.21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,26f6dca8
278,Aymeric Laporte,es ESP,DF,Manchester City,28-305,1994,6.2,12,1.94,11,0,0,1,0,0,0,0,0,0,0,0,0,0,119b9a8e
279,Juan Larios,es ESP,DF,Southampton,19-075,2004,1.7,1,0.59,1,0,0,0,0,0,1,0.59,1,0,0,0,0,0,cf7fb13a
280,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-137,1993,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450ab6fc
281,Roméo Lavia,be BEL,MF,Southampton,19-081,2004,15.2,23,1.51,19,1,0,1,2,0,1,0.07,1,0,0,0,0,0,ecad9aa5
282,Dexter Lembikisa,jm JAM,DF,Wolves,19-144,2003,0.3,1,3.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0bdda685
283,Mario Lemina,ga GAB,MF,Wolves,29-208,1993,6.6,4,0.6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2b471f99
284,Clément Lenglet,fr FRA,DF,Tottenham,27-284,1995,15.2,16,1.05,14,0,0,0,1,1,4,0.26,4,0,0,0,0,0,4f28a6ff
285,Bernd Leno,de GER,GK,Fulham,31-024,1992,25,2,0.08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2628fd2b
286,Jefferson Lerma,co COL,MFDF,Bournemouth,28-154,1994,25.3,28,1.11,24,2,0,2,0,0,0,0,0,0,0,0,0,0,9b5ce51a
287,Jamal Lewis,nir NIR,DF,Newcastle Utd,25-062,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,efb9215a
288,Rico Lewis,eng ENG,DFMF,Manchester City,18-127,2004,6,17,2.82,14,1,0,1,1,0,0,0,0,0,0,0,0,0,b57e066e
289,Keane Lewis-Potter,eng ENG,FWMF,Brentford,22-034,2001,3.6,8,2.24,2,0,2,4,0,0,2,0.56,0,0,0,2,0,0,41f08ac8
290,Victor Lindelöf,se SWE,DF,Manchester Utd,28-254,1994,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f5deef4c
291,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,30-103,1992,10.2,25,2.45,18,1,2,3,1,0,2,0.2,1,0,0,1,0,0,810e3c74
292,Diego Llorente,es ESP,DF,Leeds United,29-224,1993,7.2,6,0.83,5,0,0,1,0,0,1,0.14,1,0,0,0,0,0,bba30585
293,Hugo Lloris,fr FRA,GK,Tottenham,36-092,1986,21,5,0.24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8f62b6ee
294,Renan Lodi,br BRA,DF,Nott'ham Forest,24-354,1998,16.9,21,1.24,16,3,0,1,1,0,1,0.06,0,0,0,1,0,0,ed9f7cfe
295,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,27-064,1996,14,27,1.93,22,0,3,1,1,0,2,0.14,2,0,0,0,0,0,e97fd090
296,Sean Longstaff,eng ENG,MF,Newcastle Utd,25-149,1997,22.4,49,2.19,35,1,2,6,5,0,4,0.18,3,0,0,1,0,0,a2b105e0
